tmp_result_ctm.itemsetid,tmp_result_ctm.itemid,tmp_result_ctm.tid,tmp_result_ctm.userid,tmp_result_ctm.trajectoryid,tmp_result_ctm.timestamp,tmp_result_ctm.latitude,tmp_result_ctm.longitude,tmp_result_ctm.bin_latitude,tmp_result_ctm.bin_longitude,tmp_result_ctm.bin_timestamp,tmp_result_ctm.in_support
-2109167837,1320,2577,9407,9407,1201956077,39.97988,116.44783,39.985,116.445,1201953600,NULL
-2109167837,1320,2407,9407,9407,1201956134,39.97947,116.44843,39.974,116.445,1201953600,NULL
-2109167837,1320,2407,9407,9407,1201956173,39.97948,116.44882,39.974,116.445,1201953600,NULL
-2109167837,1320,2589,9407,9407,1201956245,39.98385,116.45355,39.985,116.46,1201953600,NULL
-2109167837,1320,2589,9407,9407,1201956371,39.98658,116.4593,39.985,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956427,39.99097,116.4634,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956477,39.99093,116.46365,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956497,39.99118,116.46392,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956546,39.99455,116.46198,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956619,39.99468,116.4618,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956647,39.99525,116.46175,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956698,39.99582,116.45732,39.996,116.46,1201953600,NULL
-2109167837,1320,2735,9407,9407,1201956717,39.9958,116.45682,39.996,116.46,1201953600,NULL
-2109167837,1320,2577,9407,9407,1201956910,39.98915,116.45115,39.985,116.445,1201953600,NULL
-2109167837,1320,2577,9407,9407,1201956988,39.98335,116.45087,39.985,116.445,1201953600,NULL
-2109167837,1320,2577,9407,9407,1201957048,39.9801,116.44925,39.985,116.445,1201953600,NULL
-2109167837,1320,2408,9407,9407,1201957280,39.9757,116.44437,39.974,116.445,1201957200,NULL
-2109167837,1320,2408,9407,9407,1201957351,39.97543,116.44023,39.974,116.445,1201957200,NULL
-2109167837,1619,355,8967,8967,1201957389,39.86345,116.34098,39.864,116.34,1201957200,NULL
-2109167837,1320,2227,9407,9407,1201957654,39.96687,116.4329,39.963,116.43,1201957200,NULL
-2109167837,1619,355,8967,8967,1201957691,39.86348,116.34108,39.864,116.34,1201957200,NULL
-2109167837,1320,2215,9407,9407,1201957799,39.96805,116.41528,39.963,116.415,1201957200,NULL
-2109167837,1320,2215,9407,9407,1201957846,39.9679,116.41287,39.963,116.415,1201957200,NULL
-2109167837,1320,2203,9407,9407,1201958057,39.96778,116.40535,39.963,116.4,1201957200,NULL
-2109167837,1320,2203,9407,9407,1201958057,39.96778,116.40535,39.963,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958252,39.97372,116.39562,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958263,39.97332,116.39555,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958292,39.9723,116.39565,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958374,39.9713,116.39463,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958388,39.97125,116.39527,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958441,39.9685,116.39568,39.974,116.4,1201957200,NULL
-2109167837,1320,2377,9407,9407,1201958441,39.9685,116.39568,39.974,116.4,1201957200,NULL
-2109167837,1320,1798,9407,9407,1201959064,39.94503,116.35875,39.941,116.355,1201957200,NULL
-2109167837,1320,1798,9407,9407,1201959138,39.94397,116.35497,39.941,116.355,1201957200,NULL
-2109167837,1619,196,8967,8967,1201959193,39.84803,116.32272,39.853,116.325,1201957200,NULL
-2109167837,1320,1798,9407,9407,1201959212,39.9426,116.34987,39.941,116.355,1201957200,NULL
-2109167837,1320,1798,9407,9407,1201959274,39.94045,116.34882,39.941,116.355,1201957200,NULL
-2109167837,1320,1786,9407,9407,1201959421,39.94287,116.34408,39.941,116.34,1201957200,NULL
-2109167837,1320,1969,9407,9407,1201959492,39.94773,116.34175,39.952,116.34,1201957200,NULL
-2109167837,1619,208,8967,8967,1201959494,39.85847,116.33312,39.853,116.34,1201957200,NULL
-2109167837,1320,1969,9407,9407,1201959545,39.95008,116.34198,39.952,116.34,1201957200,NULL
-2109167837,1320,1969,9407,9407,1201959584,39.95285,116.3412,39.952,116.34,1201957200,NULL
-2109167837,1320,1969,9407,9407,1201959655,39.95592,116.33943,39.952,116.34,1201957200,NULL
-2109167837,1320,1969,9407,9407,1201959709,39.95687,116.3372,39.952,116.34,1201957200,NULL
-2109167837,1320,2143,9407,9407,1201959856,39.96028,116.32867,39.963,116.325,1201957200,NULL
-2109167837,1320,2143,9407,9407,1201959960,39.96557,116.3282,39.963,116.325,1201957200,NULL
-2109167837,1320,2143,9407,9407,1201960047,39.96568,116.32818,39.963,116.325,1201957200,NULL
-2109167837,1320,2143,9407,9407,1201960047,39.96568,116.32818,39.963,116.325,1201957200,NULL
-2109167837,1320,2143,9407,9407,1201960090,39.96635,116.32782,39.963,116.325,1201957200,NULL
-2109167837,1320,2471,9407,9407,1201961261,39.98377,116.30982,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961307,39.9817,116.3105,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961358,39.98065,116.31093,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961368,39.98048,116.3109,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961439,39.97972,116.30843,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961451,39.97992,116.30798,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961473,39.98062,116.30787,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961540,39.98103,116.308,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961609,39.98147,116.3083,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961635,39.98007,116.30908,39.985,116.31,1201960800,NULL
-2109167837,1320,2471,9407,9407,1201961788,39.98005,116.30987,39.985,116.31,1201960800,NULL
-2109167837,1320,2306,9407,9407,1201961892,39.97737,116.31042,39.974,116.31,1201960800,NULL
-2109167837,1320,2306,9407,9407,1201961914,39.97678,116.3107,39.974,116.31,1201960800,NULL
-2109167837,1320,2306,9407,9407,1201961922,39.97652,116.31075,39.974,116.31,1201960800,NULL
-2109167837,1320,2306,9407,9407,1201962131,39.972,116.31243,39.974,116.31,1201960800,NULL
-2109167837,1320,2132,9407,9407,1201962187,39.96707,116.3145,39.963,116.31,1201960800,NULL
-2109167837,1320,2132,9407,9407,1201962320,39.9665,116.31473,39.963,116.31,1201960800,NULL
-2109167837,1320,2132,9407,9407,1201962496,39.9656,116.31592,39.963,116.31,1201960800,NULL
-2109167837,1320,2132,9407,9407,1201962547,39.9657,116.31683,39.963,116.31,1201960800,NULL
-2109167837,1320,2132,9407,9407,1201962555,39.96575,116.31708,39.963,116.31,1201960800,NULL
-2109167837,1320,2168,9407,9407,1201962917,39.9664,116.35743,39.963,116.355,1201960800,NULL
-2109167837,1320,2168,9407,9407,1201962917,39.9664,116.35743,39.963,116.355,1201960800,NULL
-2109167837,1320,2240,9407,9407,1201963436,39.95937,116.44353,39.963,116.445,1201960800,NULL
-2109167837,1320,2240,9407,9407,1201963518,39.95767,116.44628,39.963,116.445,1201960800,NULL
-2109167837,1320,2054,9407,9407,1201963619,39.95718,116.44795,39.952,116.445,1201960800,NULL
-2109167837,1320,2240,9407,9407,1201963920,39.96267,116.45067,39.963,116.445,1201960800,NULL
